id,name,iata,icao
2024-04-14DL1144B739,Delta Air Lines,DL,DAL
2024-04-14DL7844None,Delta Air Lines,DL,DAL
2024-04-14DL1723A321,Delta Air Lines,DL,DAL
2024-04-14DL9502None,Delta Air Lines,DL,DAL
2024-04-14DL7885None,Delta Air Lines,DL,DAL
2024-04-14DL7805None,Delta Air Lines,DL,DAL
2024-04-14DL6463None,Delta Air Lines,DL,DAL
2024-04-14DL7815None,Delta Air Lines,DL,DAL
2024-04-14DL8042None,Delta Air Lines,DL,DAL
2024-04-14DL113A333,Delta Air Lines,DL,DAL
2024-04-14DL5233None,Delta Air Lines,DL,DAL
2024-04-14DL7708None,Delta Air Lines,DL,DAL
2024-04-14DL6202None,Delta Air Lines,DL,DAL
2024-04-14DL6452None,Delta Air Lines,DL,DAL
2024-04-14DL2325None,Delta Air Lines,DL,DAL
2024-04-14DL7736None,Delta Air Lines,DL,DAL
2024-04-14DL7879None,Delta Air Lines,DL,DAL
2024-04-14DL6556None,Delta Air Lines,DL,DAL
2024-04-14DL8627None,Delta Air Lines,DL,DAL
2024-04-14DL6778None,Delta Air Lines,DL,DAL
2024-04-14DL7513None,Delta Air Lines,DL,DAL
2024-04-14DL7893None,Delta Air Lines,DL,DAL
2024-04-14DL9500None,Delta Air Lines,DL,DAL
2024-04-14DL8571None,Delta Air Lines,DL,DAL
2024-04-14DL6697None,Delta Air Lines,DL,DAL
2024-04-14DL40A359,Delta Air Lines,DL,DAL
2024-04-14DL2125B738,Delta Air Lines,DL,DAL
2024-04-14DL7859None,Delta Air Lines,DL,DAL
2024-04-14DL7890None,Delta Air Lines,DL,DAL
2024-04-14DL8843B752,Delta Air Lines,DL,DAL
2024-04-14DL7861None,Delta Air Lines,DL,DAL
2024-04-14DL6913None,Delta Air Lines,DL,DAL
2024-04-14DL7179None,Delta Air Lines,DL,DAL
2024-04-14DL6917None,Delta Air Lines,DL,DAL
2024-04-14DL7951None,Delta Air Lines,DL,DAL
2024-04-14DL1392None,Delta Air Lines,DL,DAL
2024-04-14DL6973None,Delta Air Lines,DL,DAL
2024-04-14DL8686None,Delta Air Lines,DL,DAL
2024-04-14DL6025None,Delta Air Lines,DL,DAL
2024-04-14DL6965None,Delta Air Lines,DL,DAL
2024-04-14DL6972None,Delta Air Lines,DL,DAL
2024-04-14DL6872None,Delta Air Lines,DL,DAL
2024-04-14DL4308CRJ9,Delta Air Lines,DL,DAL
2024-04-14DL417None,Delta Air Lines,DL,DAL
2024-04-14DL6935None,Delta Air Lines,DL,DAL
2024-04-14DL2120A319,Delta Air Lines,DL,DAL
2024-04-14DL1248A319,Delta Air Lines,DL,DAL
2024-04-14DL7949None,Delta Air Lines,DL,DAL
2024-04-14DL7842None,Delta Air Lines,DL,DAL
2024-04-14DL1361B738,Delta Air Lines,DL,DAL
2024-04-14DL2072A321,Delta Air Lines,DL,DAL
2024-04-14DL1032A320,Delta Air Lines,DL,DAL
2024-04-14DL2078None,Delta Air Lines,DL,DAL
2024-04-14DL2549A320,Delta Air Lines,DL,DAL
2024-04-14DL2001B739,Delta Air Lines,DL,DAL
2024-04-14DL6043None,Delta Air Lines,DL,DAL
2024-04-14DL1669None,Delta Air Lines,DL,DAL
2024-04-14DL2721None,Delta Air Lines,DL,DAL
2024-04-14DL6884None,Delta Air Lines,DL,DAL
2024-04-14DL3893None,Delta Air Lines,DL,DAL
2024-04-14DL9471None,Delta Air Lines,DL,DAL
2024-04-14DL3660E75L,Delta Air Lines,DL,DAL
2024-04-14DL2782A321,Delta Air Lines,DL,DAL
2024-04-14DL1264B739,Delta Air Lines,DL,DAL
2024-04-14DL1718None,Delta Air Lines,DL,DAL
2024-04-14DL2929B712,Delta Air Lines,DL,DAL
2024-04-14DL1555B738,Delta Air Lines,DL,DAL
2024-04-14DL1469None,Delta Air Lines,DL,DAL
2024-04-14DL1296None,Delta Air Lines,DL,DAL
2024-04-14DL1730None,Delta Air Lines,DL,DAL
2024-04-14DL1578B739,Delta Air Lines,DL,DAL
2024-04-14DL699None,Delta Air Lines,DL,DAL
2024-04-14DL674B739,Delta Air Lines,DL,DAL
2024-04-14DL1433None,Delta Air Lines,DL,DAL
2024-04-14DL1131None,Delta Air Lines,DL,DAL
2024-04-14DL1432BCS1,Delta Air Lines,DL,DAL
2024-04-14DL838B739,Delta Air Lines,DL,DAL
2024-04-14DL450B738,Delta Air Lines,DL,DAL
2024-04-14DL692BCS3,Delta Air Lines,DL,DAL
2024-04-14DL4141None,Delta Air Lines,DL,DAL
2024-04-14DL2995A319,Delta Air Lines,DL,DAL
2024-04-14DL3832E75L,Delta Air Lines,DL,DAL
2024-04-14DL3808None,Delta Air Lines,DL,DAL
2024-04-14DL4124E75L,Delta Air Lines,DL,DAL
2024-04-14DL4289CRJ7,Delta Air Lines,DL,DAL
2024-04-14DL4948CRJ9,Delta Air Lines,DL,DAL
2024-04-14DL930B712,Delta Air Lines,DL,DAL
2024-04-14DL4934None,Delta Air Lines,DL,DAL
2024-04-14DL1272None,Delta Air Lines,DL,DAL
2024-04-14DL1672None,Delta Air Lines,DL,DAL
2024-04-14DL3783None,Delta Air Lines,DL,DAL
2024-04-14DL3950None,Delta Air Lines,DL,DAL
2024-04-14DL820None,Delta Air Lines,DL,DAL
2024-04-14DL1728A321,Delta Air Lines,DL,DAL
2024-04-14DL4002None,Delta Air Lines,DL,DAL
2024-04-14DL4873CRJ9,Delta Air Lines,DL,DAL
2024-04-14DL2468None,Delta Air Lines,DL,DAL
2024-04-14DL2284B712,Delta Air Lines,DL,DAL
2024-04-14DL162A333,Delta Air Lines,DL,DAL
2024-04-14DL3659E75L,Delta Air Lines,DL,DAL
